Questions,Answers
What happens when we fail to connect life with the present and lack passion and the urge for action?,"But it is not life, unless we can find the vital links between it and the present with all its conflicts and problems. It is a kind of art for art's sake, without the passion and the urge to action which are the very stuff of life. Without that passion and urge, there is a gradual oozing out of hope and vitality, a settling down on lower levels of existence, a slow merging into non-existence."
How important is it to understand and connect with our past in order to fully grasp and appreciate the present and future?,"Is denied and we become slaves to the routine of jail-life. Yet the past is ever with us and all that we are and that we have come from the past. We are its products and we live immersed in it. Not to understand it and feel it as something living within us is not to understand the present. To combine it with the present and extend it to the future, to break from it where it cannot be so united, to make of all this the pulsating and vibrating material for thought and action—that is life."
What factors contribute to the psychological moment of taking a vital action?,"Any vital action springs from the depths of the being. All the long past of the individual and even of the race has prepared the background for that psychological moment of action. All the racial memories, influences of heredity and environment and training, subconscious urges, thoughts and dreams and actions from infancy and childhood onwards, in their curious and tremendous mix-up, inevitably drive to that new action, which again becomes yet another factor influencing the future."
"What are the implications of the concept of the ""pure and virgin moment"" in relation to human freedom and determinism?","Influencing the future, partly determining it, possibly even largely determining it, and yet, surely, it is not all determinism. Aurobindo Ghose writes somewhere of the present as 'the pure and virgin moment,' that razor's edge of time and existence which divides the past from the future, and yet, instantaneously is not. The phrase is attractive and yet what does it mean? The virgin moment emerging from the veil of the future in all its naked purity, coming into contact with us, and immediately becoming the soiled and stale past. Is it we that soil it and violate it? or is the moment not so virgin after all, for it is bound up with all the harlotry of the past? Whether there is any such thing as human freedom in the philosophic sense or whether there is only an automatic determinism, I do not know. A very great deal appears certainly to be determined by the past complex of events which bear down and often overwhelm the individual. Possibly even the inner urge that he experiences, that apparent exercise of free will, is itself conditioned. As Schopenhauer says, 'a man can do what he will, but not will as he will.' A belief in an absolute determinism seems to me to lead inevitably to complete inaction, to death in life. All my sense of life rebels against it, though of course that very rebellion may itself have been conditioned by previous events."
What has changed about your perspective on action and thought as you have grown older?,"What fills me, and when action is denied, I imagine that I am preparing for action. The call of action has long been with me ; not action divorced from thought, but rather flowing from it in one continuous sequence. and when, rarely, there has been full harmony between the two, thought leading to action and finding its fulfilment in it, action leading back to thought and a fuller understanding—then I have sensed a certain fullness of life and a vivid intensity in that moment of existence. but such moments are rare, very rare, and usually one outstrips the other and there is a lack of harmony, and vain effort to bring the two in line. there was a time, many years ago, when I lived for considerable periods in a state of emotional exaltation, wrapped up in the action which absorbed me. those days of my youth seem far away now, not merely because of the passage of years but far more so because of the ocean of experience and painful thought that separates them from today. the old exuberance is much less now, the almost uncontrollable impulses have toned down, and passion and feeling are more in check. the burden of thought is often a hindrance, and in the mind where there was once certainty, doubt creeps in. perhaps it is just age, or the common temper of our day."
"How does the concept of ""Ing"" relate to action and the interconnectedness of past, present, and future?","Ing, apart from being itself a kind of action, becomes part of the action to come. It is not something entirely abstract, in the void, unrelated to action and life. The past becomes something that leads up to the present, the moment of action, the future something that flows from it; and all three are inextricably intertwined and interrelated."
What role does history play in the narrator's life in prison?,"Even my seemingly actionless life in prison is tacked on somehow, by some process of thought and feeling, to coming or imagined action, and so it gains for me a certain content without which it would be a vacuum in which existence would become intolerable. When actual action has been denied me, I have sought some such approach to the past and to history. Because my own personal experiences have often touched historic events and sometimes I have even had something to do with influencing such events in my own sphere, it has not been difficult for me to envisage history as a living process with which I could identify myself to some extent."
What sparked your interest in history and what made it significant to you?,"I came late to history, and even then, not through the usual direct road of learning a mass of facts and dates and drawing conclusions and inferences from them, unrelated to my life's course. So long as I did this, history had little significance for me. I was still less interested in the supernatural or problems of a future life. Science and the problems of today and of our present life attracted me far more."
What is the relationship between the past and present in shaping one's actions and understanding of their own identity?,"Some mixture of thought and emotion and urges, of which I was only dimly conscious, led me to action, and action, in its turn, sent me back to thought and a desire to understand the present. The roots of that present lay in the past and so I made voyages of discovery into the past, ever seeking a clue in it, if any such existed, to the understanding of the present. The domination of the present never left me even when I lost myself in musings of past events and of persons far away and long ago, forgetting where or what I was. I felt occasionally that I belonged to the past. I felt also that the whole of the past belonged to me in the present. Past history merged into contemporary history: it became a living reality tied up with sensations of pain and pleasure."
"What is the phenomenon where the present sometimes seems to resemble a past event, creating a sense of retrospection even amidst ongoing action?","If the past had a tendency to become the present, the present also sometimes receded into the distant past and assumed its immobile, statuesque appearance. In the midst of an intensity of action itself, there would suddenly come a feeling as if it was some past event and one was looking at it, as it were, in retrospect."
What mindset did you have while delving into the historical writing in your early teens?,"In her early teens, but behind that writing lay that quest and voyage of discovery. A sense of adventure filled me and I lived successively different ages and periods and had for companions men and women who had lived long ago. I had leisure in jail, there was no sense of hurry or of completing a task within an allotted period of time, so I let my mind wander or take root for a while, keeping in tune with my mood, allowing impressions to sink in and fill the dry bones of the past with flesh and blood."
"What led you to write your autobiography, and how have you changed over the past twelve years in terms of your emotional response to tragedy?","It was a similar quest, though limited to recent and more intimate times and persons, that led me later to write my autobiography. I suppose I have changed a good deal during these twelve years. I have grown more contemplative. There is perhaps a little more poise and equilibrium, some sense of detachment, a greater calmness of spirit. I am not overcome now to the same extent as I used to be by tragedy or what I conceived to be tragedy. The turmoil and disturbance are less and are more temporary, even though the tragedies have been on a far greater scale."
What factors contribute to the sense of resignation and loss of vitality that can come with age or difficult life experiences?,"Is this, I have wondered, the growth of a spirit of resignation, or is it a toughening of the texture? Is it just age and a lessening of vitality and of the passion of life? Or is it due to long periods in prison and life slowly ebbing away, and the thoughts that fill the mind passing through, after a brief stay, leaving only ripples behind? The tortured mind seeks some mechanism of escape, the senses get dulled from repeated shocks, and a feeling comes over one that so much evil and misfortune shadow the world that a little more or less does not make much difference. There is only one thing that remains to us that cannot be taken away: To act with courage and dignity and to stick to the ideals that have given meaning to life; but that is not the politician's way."
What philosophical perspective can offer solace to those who are overwhelmed by the challenges of life?,"Someone said the other day: death is the birthright of every person born—a curious way of putting an obvious thing. It is a birthright which nobody has denied or can deny, and which all of us seek to forget and escape so long as we may. And yet there was something novel and attractive about the phrase. Those who complain so bitterly of life always have a way out of it, if they so choose. That is always in our power to achieve. If we cannot master life, we can at least master death. A pleasing thought lessening the feeling of helplessness."
What factors have contributed to your changing philosophy of life in recent years?,"I thought over it, the more reluctant I grew. Ultimately, I did not write that essay. What was my philosophy of life? I did not know. Some years earlier I would not have been so hesitant. There was a definiteness about my thinking and objectives then which has faded away since. The events of the past few years in India, China, Europe, and all over the world have been confusing, upsetting and distressing, and the future has become vague and shadowy and has lost that clearness of outline which it once possessed in my mind."
What impact did doubt and difficulty about fundamental matters have on your approach to action and your attitude towards politics?,"This doubt and difficulty about fundamental matters did not come in my way in regard to immediate action, except that it blunted somewhat the sharp edge of that activity. No longer could I function, as I did in my younger days, as an arrow flying automatically to the target of my choice ignoring all else but that target. Yet I functioned, for the urge to action was there and a real or imagined co-ordination of that action with the ideals I held. But a growing distaste for politics as I saw them seized me and gradually my whole attitude to life seemed to undergo a transformation."
"Is it possible for human nature to be fundamentally changed through immediate efforts, or is a slow evolution through suffering and misfortune the only way to raise humanity above its current state of lust, violence, and deceit?","The ideals and objectives of yesterday were still the ideals of today, but they had lost some of their luster and, even as one seemed to go towards them, they lost the shining beauty which had warmed the heart and vitalized the body. Evil triumphed often enough, but what was far worse was the coarsening and distortion of what had seemed so right. Was human nature so essentially bad that it would take ages of training, through suffering and misfortune, before it could behave reasonably and raise man above that creature of lust and violence and deceit that he now was? And, meanwhile, was every effort to change it radically in the present or the near future doomed to failure? Ends and means: were they tied up inseparably, acting and reacting on each other, the wrong means distorting and sometimes even destroying the end in view? But the right means might well be beyond the capacity of infirm and selfish human nature."
What were your thoughts on religion and its practices that you observed being followed by individuals from different faiths?,"Religion, as I saw it practiced, and accepted even by thinking minds, whether it was Hinduism or Islam or Buddhism or Christianity, did not attract me. It seemed to be closely associated with superstitious practices and dogmatic beliefs, and behind it lay a method of approach to life's problems which was certainly not that of science. There was an element of magic about it, an uncritical credulousness, a reliance on the supernatural."
What impact has religion had on human nature and society throughout history?,"Yet it was obvious that religion had supplied some deeply felt inner need of human nature, and that the vast majority of people all over the world could not do without some form of religious belief. It had produced many fine types of men and women, as well as bigoted, narrow-minded, cruel tyrants. It had given a set of values to human life, and though some of these values had no application today, or were even harmful, others were still the foundation of morality and ethics."
What is the relationship between religion and science in terms of exploring uncharted human experiences and phenomena beyond the known and visible world?,"In the wider sense of the word, religion dealt with the uncharted regions of human experience, uncharted, that is, by the scientific positive knowledge of the day. In a sense it might be considered an extension of the known and charted region, though the methods of science and religion were utterly unlike each other, and to a large extent they had to deal with different kinds of media. It was obvious that there was a vast unknown region all around us, and science, with its magnificent achievements, knew little enough about it, though it was making tentative approaches in that direction. Probably also, the normal methods of science, its dealings with the visible world and the processes of life, were not wholly adapted to the physical, the artistic, the spiritual, and other elements of the invisible world. Life does not consist entirely of what we see and hear and feel, the visible world which is undergoing change in time and space; it is continually touching an invisible world of other, and possibly more stable or equally changeable elements, and no thinking person can ignore this invisible world."
What is science's current stance on providing insights into the purpose of life and its relationship with religion and emotional experiences?,"Science does not tell us much, or for the matter of that anything about the purpose of life. It is now widening its boundaries and it may invade the so-called invisible world before long and help us to understand the purpose of life in its widest sense, or at least give us some glimpses which illuminate the problem of human existence. The old controversy between science and religion takes a new form—the application of the scientific method to emotional and religious experiences."
What are the differences between metaphysics and philosophy in terms of mental discipline and self-delusion?,"Vague and soft and flabby, not a rigorous discipline of the mind but a surrender of mental faculties and a living in a sea of emotional experience. • The experience may lead occasionally to some insight into inner and less obvious processes, but it is also likely to lead to self-delusion. Metaphysics and philosophy, or a metaphysical philosophy, have a greater appeal to the mind. They require hard thinking and the application of logic and reasoning, though all this is necessarily based on some premises, which are presumed to be self-evident, and yet which may or may not be true. All thinking persons, to a greater or less degree, dabble in metaphysics and philosophy, for not to do so is to ignore many of the aspects of this universe of ours. Some may feel more attracted to them than others, and the emphasis on them may vary in different ages. In the ancient world, both in Asia and Europe, all the emphasis was laid on the supremacy of the inward life over things external, and this inevitably led to metaphysics and philosophy. The modern man is wrapped up much more in these things external, and yet even he, in moments of crisis and mental trouble, often turns to philosophy and metaphysical speculations."
What is the speaker's stance on metaphysical conceptions and philosophical speculation?,"Some vague or more precise philosophy of life we all have, though most of us accept unthinkingly the general attitude which is characteristic of our generation and environment. Most of us also accept certain metaphysical conceptions as part of the faith in which we have grown up. I have not been attracted towards metaphysics; in fact, I have had a certain distaste for vague speculation. And yet I have sometimes found a certain intellectual fascination in trying to follow the rigid lines of metaphysical and philosophic thought of the ancients or the moderns. But I have never felt at ease there and have escaped from their spell with a feeling of relief."
What is your perspective on theories and assumptions that are based on intellectual speculations?,"But I do not believe in any of these or other theories and assumptions as a matter of religious faith. They are just intellectual speculations in an unknown region about which we know next to nothing. They do not affect my life, and whether they were proved right or wrong subsequently, they would make little difference to me."
What is your opinion on spiritualism and its methods of investigating psychic phenomena?,"Spiritualism with its seances and its so-called manifestations of spirits and the like has always seemed to me a rather absurd and impertinent way of investigating psychic phenomena and the mysteries of the after-life. usually it is something worse, and is an exploitation of the emotions of some over-credulous people who seek relief or escape from mental trouble. I do not deny the possibility of some of these psychic phenomena having a basis of truth, but the approach appears to me to be all wrong and the conclusions drawn from scraps and odd bits of evidence to be unjustified."
"What is the feeling you often have when you contemplate the world around you and seek understanding through an objective approach, despite acknowledging the limitations of true objectiveness?","Often, as I look at this world, I have a sense of mysteries, of unknown depths. The urge to understand it, in so far as I can, comes to me : to be in tune with it and to experience it in its fullness. But the way to that understanding seems to me essentially the way of science, the way of objective approach, though I realise that there can be no such thing as true objectiveness."
What is the importance of conditioning the subjective element with the scientific method and why does the author refrain from associating it with traditional notions of god or supreme power in anthropomorphic terms?,"If the subjective element is unavoidable and inevitable, it should be conditioned as far as possible by the scientific method. What the mysterious is I do not know. I do not call it god because god has come to mean much that I do not believe in. I find myself incapable of thinking of a deity or of any unknown supreme power in anthropomorphic terms, and the fact that many people think so is continually a source of surprise to me."
"What philosophical beliefs have you been attracted to, and how do they influence your perspective on the presence of a personal god?","Any idea of a personal god seems very odd to me. Intellectually, I can appreciate to some extent the conception of monism, and I have been attracted towards the Advaita (non-dualist) philosophy of the Vedanta, though I do not presume to understand it in all its depth and intricacy, and I realize that merely an intellectual appreciation of such matters does not carry one far. At the same time the Vedanta, as well as other similar approaches, rather frighten me with their vague, formless incursions into infinity. The diversity and fullness of nature stir me and produce a harmony of the spirit, and I can imagine myself feeling at home in the old Indian or Greek pagan and pantheistic atmosphere, but minus the conception of god or gods that was attached to it."
"What impact has the application of an ethical doctrine to large-scale public activity had on society, particularly in India?","The idea is by no means new, but this application of an ethical doctrine to large-scale public activity was certainly novel. It is full of difficulty, and perhaps ends and means are not really separable but form together one organic whole. In a world which thinks almost exclusively of ends and ignores means, this emphasis on means seems odd and remarkable. How far it has succeeded in India I cannot say, but there is no doubt that it has created a deep and abiding impression on the minds of large numbers of people."
"What impact did studying Marx and Lenin have on your perspective on history and current affairs, particularly in relation to the Soviet Union's achievements and limitations?","A study of marx and lenin produced a powerful effect on my mind and helped me to see history and current affairs in a new light. The long chain of history and of social development appeared to have some meaning, some sequence, and the future lost some of its obscurity. The practical achievements of the soviet union were also tremendously impressive. Often I disliked or did not understand some development there and it seemed to me to be too closely concerned with the opportunism of the moment or the power politics of the day. But despite all these developments and possible distortions of the original passion for human betterment, I had no doubt that the soviet revolution had advanced human society by a great leap and had lit a bright flame which could not be smothered, and that it had laid the foundations for that new civilization towards which the world could advance. I am too much of an individualist and believer in personal freedom to like overmuch regimentation. Yet it seemed to me obvious that in a complex social structure individual freedom had to be limited, and perhaps the only way to read personal freedom was through some such limitation in the social sphere. The lesser liberties may often need limitation in the interest of the larger freedom."
What is the approach to understanding fundamental questions and solving the problems of life?,"Action and these basic urges or principles. So there was an odd mixture in my mind which I could not rationally explain or resolve. There was a general tendency not to think too much of those fundamental questions which appear to be beyond reach, but rather to concentrate on the problems of life—to understand in the narrower and more immediate sense what should be done and how. Whatever ultimate reality may be, and whether we can ever grasp it in whole or in part, there certainly appear to be vast possibilities of increasing human knowledge, even though this may be partly or largely subjective, and of applying this to the advancement and betterment of human living and social organization."
What are some of the dangers of getting absorbed in finding an answer to the riddle of the universe?,"There has been in the past, and there is to a lesser extent even today among some people, an absorption in finding an answer to the riddle of the universe. This leads them away from the individual and social problems of the day, and when they are unable to solve that riddle they despair and turn to inaction and triviality, or find comfort in some dogmatic creed. Social evils, most of which are certainly capable of removal, are attributed to original sin, to the unalterableness of human nature, or the social structure, or (in India) to the inevitable legacy of previous births. Thus one drifts away from even the attempt to think rationally and scientifically and takes refuge in irrationalism, superstition, and unreasonable and inequitable social prejudices and practices. It is true that even rational and scientific thought does not always take us as far as we would like to go. There is an infinite number of factors and relations all of which influence and determine events in varying degrees. It is impossible to grasp all of them, but we can try to pick out the dominating forces at work and by observing external material reality, and by experiment and practice, trial and error, grope our way to ever-widening knowledge and truth."
What approach did you find helpful for your purposes despite its limitations and how did you navigate the uncertainties regarding the interpretation of past and present events in relation to Marxist theory? ,"For this purpose, and within these limitations, the general Marxist approach, fitting in as it more or less does with the present state of scientific knowledge, seemed to me to offer considerable help. But even accepting that approach, the consequences that flow from it and the interpretation on past and present happenings were by no means always clear. Marx's general analysis of social development seems to have been remarkably correct, and yet many developments took place later which did not fit in with his outlook for the immediate future."
What approach did you take towards the socialist theory and the leftist groups in India?,"Scientific knowledge is now changing the world picture with amazing rapidity, leading to new problems. And so while I accepted the fundamentals of the socialist theory, I did not trouble myself about its numerous inner controversies. I had little patience with leftist groups in India, spending much of their energy in mutual conflict and recrimination over fine points of doctrine which did not interest me at all. Life is too complicated and, as far as we can understand it in our present state of knowledge, too illogical, for it to be confined within the four corners of a fixed doctrine."
What methods must be followed in finding solutions to problems of individual and social life?,"The real problems for me remain problems of individual and social life, of harmonious living, of a proper balancing of an individual's inner and outer life, of an adjustment of the relations between individuals and between groups, of a continuous becoming something better and higher of social development, of the ceaseless adventure of man. In the solution of these problems the way of observation and precise knowledge and deliberate reasoning, according to the method of science, must be followed. This method may not always be applicable in our quest of truth, for art and poetry and certain psychic experiences seem to belong to a different order of things and to elude the objective methods of science. Let us, therefore, not rule out intuition and other methods of sensing truth and reality."
What is the importance of maintaining a balance between theoretical knowledge and practical application in philosophy?,"They are necessary even for the purposes of science. But always we must hold to our anchor of precise objective knowledge tested by reason, and even more so by experiment and practice. And always we must beware of losing ourselves in a sea of speculation unconnected with the day-to-day problems of life and the needs of men and women. A living philosophy must answer the problems of today."
What is the potential downside of modern society's belief in its own superiority and progress?,"It may be that we of this modern age, who so pride ourselves on the achievements of our times, are prisoners of our age, just as the ancients and the men and women of medieval times were prisoners of their respective ages. We may delude ourselves, as others have done before us, that our way of looking at things is the only right way, leading to truth. We cannot escape from that prison or get rid entirely of that illusion, if illusion it is."
How have recent scientific discoveries transformed our understanding of the physical world and our relationship to nature?,"Space-time and the quantum theory utterly changed the picture of the physical world. More recent research into the nature of matter, the structure of the atom, the transmutation of the elements, and the transformation of electricity and light, either into the other, have carried human knowledge much further. Man no longer sees nature as something apart and distinct from himself. Human destiny appears to become a part of nature's rhythmic energy."
What are some contrasting perspectives held by scientists regarding the unity and metaphysical aspects of nature as influenced by the advancements in science?,"All this upheaval of thought, due to the advance of science, has led scientists into a new region, verging on the metaphysical. They draw different and often contradictory conclusions. Some see in it a new unity, the antithesis of chance. Others, like Bertrand Russell, say, 'Academic philosophers ever since the time of Parmenides have believed the world is unity. The most fundamental of my beliefs is that this is rubbish.' Or again, 'Man is the product of causes which had no prevision of the end they were achieving; his origin, his growth, his hopes and fears, his loves and beliefs are but the outcome of accidental collocations of atoms.' And yet the latest developments in physics have gone a long way to demonstrate a fundamental unity in nature. 'The belief that all things are made of a single substance is as old as thought itself; but ours is the generation which, first of all in history, is able to receive the unity of nature, not as a baseless dogma or a hopeless aspiration, but a principle of science based on proof as sharp and clear as anything which is known.' Old as this belief is in Asia and Europe, it is interesting to compare some of the latest conclusions of science with the fundamental ideas underlying the Advaita Vedantic theory. These ideas were that the universe is made of one substance whose form is perpetually changing, and further that the sum-total of energies remains always the same, also that 'the explanations of things are to be found within their own nature, and that no external beings or existences are required to explain what is going on in the universe,' with its corollary of a self-evolving universe."
